experiment_id,temperature_c,ph,ionic_strength_mol_kg,model_n,model_mae_normalized,model_rmse_normalized,model_bias_normalized,model_r2,baseline_n,baseline_mae_normalized,baseline_rmse_normalized,baseline_bias_normalized,baseline_r2,interval_coverage
2003-12_column_93,80.0,4.49,0.119,4,0.09216644839180431,0.09728347377499312,-0.04314310579504431,-30.5058909369417,4,0.33458776674516333,0.3368460718489592,-0.33458776674516333,-376.7257566546024,1.0
2003-13_column_96,80.0,5.43,0.119,4,0.2606472029099581,0.26080836607654284,-0.2606472029099581,-4072.304555970055,4,0.34781249999999997,0.34783650523629633,-0.34781249999999997,-7244.263157894693,0.0
2003-14_column_99,80.0,5.45,0.12,4,0.09918314945125328,0.10650812112186307,-0.021233625550734277,-48.833699621052425,4,0.31820918017133726,0.327358633778169,-0.31820918017133726,-469.7662089735237,1.0
2003-15_column_102,80.0,4.53,0.12,3,0.17474316490229705,0.1766877407587211,-0.17474316490229705,-2899.304718552667,3,0.36041665805017664,0.36043159019425935,-0.36041665805017664,-12068.144576925564,0.0
2003-16_column_105,80.0,6.84,0.12,3,0.11332775062308602,0.1393529315531173,-0.11332775062308602,-19.024135285875303,3,0.36584435699868895,0.3666705526746721,-0.36584435699868895,-137.6352335454347,0.3333333333333333
2003-17_column_108,80.0,6.0,0.12,6,0.13804495675924774,0.15563528076731323,0.054961861940963384,-9.39086052381818,6,0.23090866904094717,0.266619823067307,-0.17891822143649702,-29.494413159959535,0.8333333333333334
2003-18_column_111,80.0,7.33,0.127,3,0.25887698673703863,0.2628491139163995,-0.25887698673703863,-192.74704114655606,3,0.36208322250992603,0.3625753055104735,-0.36208322250992603,-367.6536068530854,0.0
2003-19_column_129,80.0,8.2,0.125,3,0.2681003261907255,0.2701983946389977,-0.2681003261907255,-96.1629652036116,3,0.3858333085283499,0.3868058035499566,-0.3858333085283499,-198.122893447593,0.0
2003-1_column_84,80.0,2.18,0.127,4,0.40786736641747595,0.41183991740079695,0.40786736641747595,-8.425759149169016,4,0.30755277048323393,0.30767869522051755,0.30755277048323393,-4.260830536644299,0.0
2003-20_column_132,80.0,8.27,0.121,4,0.3506191224041597,0.3506273590048585,-0.3506191224041597,-1205.9999420892386,4,0.40218750000000003,0.4023141069177167,-0.40218750000000003,-1588.0814956855265,0.0
2003-21_column_0,80.0,8.75,0.117,4,0.45388956337418535,0.45389862934606556,-0.45388956337418535,-729.5004878794002,4,0.5387500000000001,0.5390116823873116,-0.5387500000000001,-1029.1468144044325,0.0
2003-21_column_135,80.0,8.75,0.117,4,0.45388956337418535,0.45389862934606556,-0.45388956337418535,-729.5004878794002,4,0.5387500000000001,0.5390116823873116,-0.5387500000000001,-1029.1468144044325,0.0
2003-26_column_114,80.0,7.13,0.135,3,0.2602497682416381,0.2603190155953163,-0.2602497682416381,-986.7294344164408,3,0.31458567679040117,0.31469470267012917,-0.31458567679040117,-1442.4610655737697,0.0
2003-27_column_117,80.0,7.16,0.0338,4,0.2520891154400826,0.25268670892830686,-0.2520891154400826,-303.5640051326493,4,0.3343644544431946,0.334677806587993,-0.3343644544431946,-533.2783855148996,0.0
2003-28_column_120,80.0,7.26,0.534,3,0.24972905721117078,0.2497816836168342,-0.24972905721117078,-855.7171262831163,3,0.29321334833145857,0.29333750728848457,-0.29321334833145857,-1180.548262548267,0.0
2003-2_column_87,80.0,3.45,0.12,4,0.0837488858281254,0.0969618311442671,0.0837488858281254,-12.590111546614557,4,0.2728682395042482,0.2744923406746566,-0.2728682395042482,-107.91353779106295,1.0
2003-3_column_78,80.0,2.07,0.127,3,0.06871596027357807,0.07161883574173478,-0.06871596027357807,-4.408793310075684,3,0.20288136814130997,0.21567333530346477,-0.20288136814130997,-48.049973999947845,0.0
2003-4_column_81,80.0,2.88,0.121,2,0.13940203858295333,0.14106079119773454,-0.13940203858295333,-129.30389746095054,2,0.4645690120102375,0.4680394652412955,-0.4645690120102375,-1433.5302939308613,0.0
2003-5_column_90,80.0,3.05,0.12,3,0.47847127261050365,0.47862858943592906,0.47847127261050365,-339.2608255189427,3,0.4508397966019477,0.4516284785518749,0.4508397966019477,-301.9544373391201,1.0
2003-6_column_126,80.0,8.18,0.11,3,0.41571547243270296,0.4157863565078447,-0.41571547243270296,-204.15620362903715,3,0.647998510217223,0.6486482997224767,-0.647998510217223,-498.3013647937425,0.0
2003-7_column_123,80.0,7.93,0.11,3,0.387239487083158,0.38734951726115807,-0.387239487083158,-2249.594727836779,3,0.5899999077094343,0.59005640253471,-0.5899999077094343,-5221.498372583047,0.0
2004-1_column_51,23.0,9.53,0.113,3,0.19688997251283932,0.19936234677396752,-0.19688997251283932,-332.72184984351105,3,0.4907821211039845,0.49178010507360614,-0.4907821211039845,-2029.6743283646563,0.0
2004-2_column_54,23.0,9.0,0.016,3,0.17147895028662766,0.17390931317071096,-0.17147895028662766,-74.54554528848603,3,0.3282776012891182,0.32888293138673097,-0.3282776012891182,-269.1754291116084,0.0
2004-3_column_45,23.0,9.14,0.0111,3,0.14054442446696108,0.17100333575438423,-0.14054442446696108,-8.779253401907692,3,0.37806872331856467,0.40263059298835396,-0.37806872331856467,-53.21382839221838,0.3333333333333333
2004-4_column_42,23.0,8.61,0.0111,4,0.04820111874421913,0.051073930319882666,0.037009246488859296,0.07391626579560495,4,0.1995347825091809,0.23284811880012798,-0.1995347825091809,-18.248512089734096,1.0
2004-5_column_18,23.0,7.92,0.0111,4,0.09957237029213843,0.1025165690897001,0.09957237029213843,-1.0841102449899864,4,0.16029383353916316,0.20139399778783665,-0.15793201887541403,-7.043139625197989,0.25
2004-6_column_48,23.0,9.65,0.0111,4,0.040414351083834454,0.043357567589497985,0.040414351083834454,0.28303635878036415,4,0.05549076304831682,0.05822878099981223,-0.01684853667737471,-0.29313155481468,0.75
2005-10_column_24,23.0,8.24,0.113,6,0.10032963312650152,0.103807237650299,0.049315702550422454,-1.7680869848923564,6,0.18233599178039417,0.2256650697167236,-0.18233599178039417,-12.081367471792769,0.8333333333333334
2005-11_column_60,58.0,7.68,0.119,3,0.198101093411432,0.20028923498583073,-0.198101093411432,-76.90521890457363,3,0.279166547872351,0.2800872799395113,-0.279166547872351,-151.34847405642114,0.0
2005-12_column_57,58.0,8.02,0.118,3,0.1988071554550724,0.20192275525418252,-0.1988071554550724,-59.28011364352604,3,0.29333107828332367,0.29448148501320537,-0.29333107828332367,-127.20929858566655,0.0
2005-1_column_63,58.0,7.4,0.117,5,0.2146307243636807,0.21502352554706514,-0.2146307243636807,-1379.1527324981898,5,0.268,0.2680624927139192,-0.268,-2143.9999999999986,0.0
2005-3_column_39,23.0,8.93,0.108,6,0.23615451472077487,0.24190764393000228,-0.23615451472077487,-1039.3432567424827,6,0.41496875530786864,0.41503577902811006,-0.41496875530786864,-3061.305739972798,0.0
2005-4_column_33,23.0,8.88,0.109,6,0.18988386001558885,0.20203131863716042,-0.18988386001558885,-34.90469232913165,6,0.38383719301417285,0.3841739003161309,-0.38383719301417285,-128.82834660055957,0.0
2005-6_column_36,23.0,8.88,0.115,3,0.15702087321643518,0.1599575097062388,-0.15702087321643518,-141.80784136607264,3,0.39493785939334874,0.39516188108194694,-0.39493785939334874,-870.5511381965881,0.0
2005-7_column_75,58.0,8.48,0.117,4,0.2557621012019796,0.25768728560067217,-0.2557621012019796,-84.64857394141347,4,0.35781241974039024,0.35889415816133763,-0.35781241974039024,-165.1372177410646,0.0
2005-9_column_30,23.0,8.66,0.111,4,0.12698632886677944,0.14164217976908788,-0.012619771044976962,-93.32023107123025,4,0.2937079309592798,0.3255037629693314,-0.2680267230498547,-497.1173626158943,0.75
2006-10_column_15,23.0,8.02,0.116,4,0.07315471715498963,0.08408813647531532,-0.03947020339821046,-1.3083048330264937,4,0.26309028432454074,0.2636504718762666,-0.26309028432454074,-21.692419888162746,0.5
2006-1_column_69,58.0,2.48,0.12,6,0.25575258735807965,0.2718288765522455,0.25575258735807965,-3.210715990980238,6,0.2257021497110406,0.23753049712733074,0.2257021497110406,-2.2151669176861253,0.0
2006-1_column_72,58.0,2.48,0.12,3,0.32392416100176796,0.3240890146812656,-0.32392416100176796,-2273.413726156184,3,0.3629166666666667,0.36298028527731363,-0.3629166666666667,-2852.0338345864716,0.0
2006-2_column_66,58.0,3.58,0.127,5,0.1709711228081864,0.17588692339686207,0.1709711228081864,-12.547716147148506,5,0.13426843360629426,0.16890648604403036,-0.10941318829439625,-11.493716237242046,0.4
2006-3_column_12,23.0,8.05,0.114,6,0.09377170136956663,0.1109106767200077,0.03976754592392018,-2.628822503068589,6,0.22813338705542596,0.2720769089082755,-0.22813338705542596,-20.837473226513463,1.0
2006-4_column_9,23.0,7.62,0.117,5,0.12090897813720658,0.14435828365279166,0.11468775984299184,-0.36727448474099345,5,0.2039584553004536,0.22469951131193744,-0.051579356996810564,-2.3126575720121707,0.4
2006-5_column_3,23.0,5.66,0.119,6,0.37015548843874213,0.3734929285187389,0.37015548843874213,-10.751923794596932,6,0.2934928636091701,0.31601789566037003,0.2934928636091701,-7.4133228189174645,0.0
2006-6_column_27,23.0,8.63,0.111,6,0.03916366363679544,0.05300288938176683,0.0016771868929620626,-0.5581708415040019,6,0.26867271612602034,0.28184726831006907,-0.26867271612602034,-43.059913730011026,0.8333333333333334
2006-7_column_6,23.0,7.11,0.118,7,0.1410718660528584,0.16881794500074299,0.1322825325990988,-0.5133598940686797,7,0.18515076544879563,0.20704807396586286,-0.1017372068306336,-1.2763937865312336,0.42857142857142855
2006-8_column_21,23.0,8.01,0.117,4,0.0794645861954968,0.08146688007064792,0.026755779752569393,-0.8768789610685936,4,0.22814138381793114,0.23057136872918982,-0.22814138381793114,-14.034356785510388,0.75
2019-1_column_174,40.0,7.5,0.0104072,5,0.031083033916994563,0.04076408174987963,0.01685989420941585,-5.635941118234769,5,0.3526787676937842,0.35519639291301264,-0.3526787676937842,-502.8303087301285,1.0
2019-2_column_177,40.0,9.5,0.00988472,3,0.02796973311313881,0.03369344342324677,-0.02356927370056472,-37.08447420309371,3,0.2217555221335549,0.22926996226167234,-0.2217555221335549,-1762.4026453672445,1.0
2019-3_column_180,70.0,7.9,0.0113225,4,0.12423485856618485,0.12766918580673312,0.12423485856618485,-36.04655946570721,4,0.07254315154486304,0.08794852958187875,-0.03548234525739749,-16.580566661286223,1.0
